ID,Intent,Question_EN,Answer_EN,Question_HA,Answer_HA,Keywords,Source
TAX_280,filing,Can I file tax online in Nigeria?,Yes. The FIRS e-filing portal (efiling.firs.gov.ng) allows online submission of all tax returns. Most State IRS offices also have online portals for individual PIT filing.,,,"filing, return, deadline, March 31, e-filing, annual, online","Nigeria Tax Administration Act 2025, Sections 24–30"
TAX_281,filing,What happens if I miss the deadline?,"Late filing attracts a penalty of N50,000 for the first month and N25,000 for each subsequent month. Interest also accrues on any unpaid tax at the CBN Monetary Policy Rate.",,,"filing, return, deadline, March 31, e-filing, annual, online","Nigeria Tax Administration Act 2025, Sections 24–30"
TAX_282,filing,How often should I file tax?,Individuals file once a year by March 31st. Companies file once a year within 6 months of their financial year-end. VAT-registered businesses file monthly VAT returns.,,,"filing, return, deadline, March 31, e-filing, annual, online","Nigeria Tax Administration Act 2025, Sections 24–30"
TAX_283,filing,What documents are required for filing?,"Required: TIN, salary slips or income statements, pension contribution statements, NHF receipts, rent receipts, bank statements, invoices (for business), and prior year tax returns.",,,"filing, return, deadline, March 31, e-filing, annual, online","Nigeria Tax Administration Act 2025, Sections 24–30"
TAX_284,filing,Can someone file tax on my behalf?,"Yes. A tax consultant, accountant, or authorized agent can file on your behalf using a signed authority letter. You remain legally responsible for the accuracy of the return.",,,"filing, return, deadline, March 31, e-filing, annual, online","Nigeria Tax Administration Act 2025, Sections 24–30"
TAX_285,filing,Do I need an accountant to file tax?,"Not mandatory, but advisable for complex returns. Simple PAYE-based returns can be filed yourself online. For businesses, self-employed persons, or multiple income sources, an accountant helps.",,,"filing, return, deadline, March 31, e-filing, annual, online","Nigeria Tax Administration Act 2025, Sections 24–30"
TAX_286,filing,How do I correct a mistake in my filing?,File an amended return with corrections. Submit the amendment to the relevant tax authority with an explanation. Most errors can be corrected within 6 years without prosecution.,,,"filing, return, deadline, March 31, e-filing, annual, online","Nigeria Tax Administration Act 2025, Sections 24–30"
TAX_287,filing,Can I amend my tax return?,Yes. You can amend a filed return within 6 years. File an amended return at the same tax authority explaining the correction. Simple errors are usually accepted without penalty.,,,"filing, return, deadline, March 31, e-filing, annual, online","Nigeria Tax Administration Act 2025, Sections 24–30"
TAX_288,compliance,What is tax compliance?,"Tax compliance means fulfilling all your legal tax obligations: timely registration, accurate filing, on-time payment of taxes, and maintaining adequate records as required by the NTA 2025.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_289,compliance,How do I stay compliant with tax laws?,"Stay compliant by: registering for TIN, filing annual returns by deadline, paying taxes on time, keeping records for 6 years, and responding promptly to any FIRS or State IRS notices.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_290,compliance,What are my obligations as a taxpayer?,"Your obligations include: registering for TIN, filing annual returns, paying assessed taxes on time, deducting and remitting WHT as required, keeping records for 6 years, and cooperating with tax authorities.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_291,compliance,Do I need to keep records?,Yes. Nigerian tax law requires all taxpayers to keep adequate records of income and expenses. Failure to keep proper records can result in penalties and adverse tax assessments.,,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_292,compliance,How long should I keep tax records?,"Under the NTA 2025, taxpayers must retain all tax-related records, books, and documents for a minimum of 6 years. In cases of fraud, there is no time limit.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_293,compliance,What happens during a tax audit?,"During an audit, the tax authority reviews your financial records, tax returns, bank statements, and supporting documents to verify accuracy. You have the right to legal representation.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_294,compliance,Can I be audited anytime?,"Yes. The tax authority can initiate an audit at any time within 6 years of the return filing date. For fraud cases, there is no time limit on audits.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_295,compliance,What triggers a tax audit?,"Audits are triggered by: significant discrepancy between income declared and lifestyle, tip-offs from third parties, inconsistent returns over years, high-risk industry classification, or random selection.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_296,compliance,How do I prepare for an audit?,"Prepare by: organizing all financial records for the audit period, reconciling your filed returns with bank statements, engaging a tax professional, and responding promptly and honestly to all queries.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_297,compliance,What documents are checked in an audit?,"Auditors check: income statements, bank statements, invoices and receipts, payroll records, contracts, asset schedules, VAT returns, WHT certificates, and prior year tax returns.",,,"compliance, records, audit, 6 years, FIRS, obligations, TIN","Nigeria Tax Administration Act 2025, Sections 40–55"
TAX_298,penalties,What is the penalty for not paying tax?,"Failure to pay assessed tax attracts a penalty of 10% of the unpaid amount, plus interest at the prevailing CBN rate per annum until the tax is fully paid.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_299,penalties,Are there fines for late filing?,"Yes. Late filing attracts N50,000 for the first month and N25,000 for each additional month. Companies face N50,000 first month and N25,000 per subsequent month.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_300,penalties,What happens if I evade tax?,"Tax evasion is a criminal offence. Penalties include fines up to N10 million, forfeiture of assets, and imprisonment of up to 5 years, plus full payment of all evaded taxes with interest.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_301,penalties,Can I go to jail for tax evasion?,"Yes. Tax evasion carries a potential prison sentence of up to 5 years under the NTA 2025, in addition to payment of all taxes owed, penalties, and interest.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_302,penalties,How much is the penalty for late payment?,"Late payment attracts a penalty of 10% of the unpaid tax, plus interest at the CBN Monetary Policy Rate per annum from the due date until full payment.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_303,penalties,Can penalties be waived?,"Yes. Under the NTA 2025, penalties can be waived in circumstances of genuine hardship, natural disaster, first-time offence, or where the taxpayer makes full voluntary disclosure.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_304,penalties,What is interest on unpaid tax?,Interest accrues at the CBN Monetary Policy Rate per annum on any unpaid tax from the due date until full settlement. The rate adjusts each time CBN changes its benchmark rate.,,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_305,penalties,How do I avoid tax penalties?,"Avoid penalties by: filing returns on time, paying assessed tax by due dates, deducting and remitting WHT correctly, keeping accurate records, and responding to all tax authority notices.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_306,penalties,What happens if I ignore tax notices?,"Ignoring tax notices leads to escalating enforcement: additional penalties, bank account restrictions, asset seizure, court proceedings, and ultimately criminal prosecution for persistent defaulters.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_307,penalties,Can I appeal a tax penalty?,"Yes. You can object to a penalty assessment within 30 days of receiving the notice. If objection fails, appeal to the Tax Appeal Tribunal within 30 days of the objection decision.",,,"penalty, fine, N50k, late, evasion, prison, interest, CBN rate","Nigeria Tax Administration Act 2025, Sections 70–85"
TAX_308,vat,What is VAT in Nigeria?,VAT is a consumption tax of 7.5% charged on the value of taxable goods and services supplied in Nigeria. Suppliers collect it from buyers and remit to FIRS monthly.,,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_309,vat,What is the current VAT rate?,"The current VAT rate in Nigeria is 7.5% on all taxable supplies. Basic food, medical products, educational materials, electricity, and exported goods/services are zero-rated at 0%.",,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_310,vat,Who pays VAT?,"The final consumer pays VAT. However, VAT-registered businesses collect it from customers (output VAT), deduct what they paid to suppliers (input VAT), and remit the difference to FIRS.",,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_311,vat,What goods are exempt from VAT?,"Exempt from VAT: land and buildings, money and securities, government licences, military hardware, baby products, shared road transport, and assistive devices for disabled persons.",,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_312,vat,Do small businesses charge VAT?,Only VAT-registered businesses must charge VAT. Businesses with annual turnover below the VAT threshold (generally N25m) are not required to register for VAT.,,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_313,vat,How is VAT calculated?,"VAT = 7.5% x selling price. E.g., if goods cost N100,000, VAT = N7,500; total to customer = N107,500. On imports, VAT is calculated on CIF value plus all import duties.",,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_314,vat,When do I remit VAT?,VAT must be remitted to FIRS by the 21st day of the month following the month in which the supply was made. Monthly filing and payment is mandatory for registered taxpayers.,,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_315,vat,What is input VAT?,Input VAT is the VAT you paid on purchases and expenses made in the course of your business. You deduct it from the output VAT you collected before remitting to FIRS.,,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_316,vat,What is output VAT?,Output VAT is the VAT you charge and collect from your customers on your sales and services. It is the total VAT liability before deducting input VAT credits.,,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_317,vat,Can VAT be refunded?,"Yes. If input VAT exceeds output VAT, you are entitled to a refund or can carry the excess forward as a credit. Apply to FIRS with supporting documents; refunds are processed within 90 days.",,,"VAT, 7.5%, input, output, exempt, zero-rated, FIRS, 21st","Nigeria Tax Act 2025, Chapter Six (Sections 143–157)"
TAX_318,self_employed,Do freelancers pay tax in Nigeria?,Yes. Freelancers pay PIT through Direct Assessment with their State IRS. All freelance income from any source (local or foreign) must be declared annually by March 31st.,,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_319,self_employed,How do self-employed people pay tax?,"Self-employed persons file under Direct Assessment at their State IRS. Declare all business income, deduct allowable expenses, calculate PIT on net profit, and pay by March 31st annually.",,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_320,self_employed,Do I need to register my business for tax?,Yes. Any business earning income must be registered for tax. Sole proprietors register with their State IRS for PIT. Companies register with CAC and FIRS for CIT.,,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_321,self_employed,What taxes apply to small businesses?,"Small businesses pay: PIT on profits (if unregistered/sole trader), or 0% CIT (if registered company with turnover < N100m), VAT (if turnover > N25m), and WHT on certain payments received.",,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_322,self_employed,How do I calculate my business tax?,Business tax = Net profit (revenue minus allowable business expenses) taxed at PIT rates (for sole traders) or 0%/30% CIT (for registered companies). Deduct capital allowances on business assets.,,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_323,self_employed,Do online businesses pay tax?,"Yes. Online businesses are taxable in Nigeria. Income from e-commerce, digital services, social media, freelancing platforms, and app stores is all subject to Nigerian PIT or CIT.",,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_324,self_employed,What if I earn income from abroad?,"Foreign income is taxable in Nigeria if you are a tax resident. However, income brought in through approved banking channels and dividend/rent from abroad are exempt from further Nigerian tax.",,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_325,self_employed,How do I declare business income?,File your annual PIT return with your State IRS (for sole traders) or CIT return with FIRS (for companies). Attach a profit/loss account showing all income and deductible expenses.,,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_326,self_employed,Do side hustles need tax payment?,Yes. Income from side hustles is taxable as part of your total annual income. Add all income sources and file one combined return with your State IRS.,,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_327,self_employed,What is presumptive tax?,"Presumptive tax is a simplified tax regime for small businesses and informal sector operators where actual income is hard to determine. Tax is assessed based on business type, location, or other indicators.",,,"self-employed, freelance, business, PIT, Direct Assessment, small business","Nigeria Tax Act 2025, Sections 12, 29; PITA 2025"
TAX_328,exemptions,Who is exempt from paying tax?,"Exemptions include: minimum wage earners, pension recipients (approved schemes), military personnel (salaries), government bond holders, disability compensation recipients, and agricultural businesses in first 5 years.",,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_329,exemptions,Are students exempt from tax?,"Students without income are not required to pay tax. However, all adults (18+) must register for TIN. If a student earns any income, that income is taxable above the minimum wage threshold.",,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_330,exemptions,Do retirees pay tax?,"Pension income from approved pension schemes under the Pension Reform Act is tax-exempt. However, if a retiree earns additional income (e.g., rental, investment, consultancy), that income is taxable.",,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_331,exemptions,Are there tax reliefs in Nigeria?,"Yes. Allowable reliefs include: pension contributions (8% of basic salary), NHF contributions (2.5%), NHIS contributions, life insurance premiums, and rent relief of 20% of annual rent capped at N500,000.",,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_332,exemptions,What is tax relief allowance?,"Tax exemptions in Nigeria include: minimum wage earners (0% PIT), government bonds income, pension income, military salaries, disability compensation, and agricultural businesses for first 5 years.",,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_333,exemptions,How do I claim tax relief?,"Claim reliefs when filing your annual return by providing supporting evidence: pension statements, NHF receipts, NHIS cards, life insurance certificates, and rent payment receipts.",,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_334,exemptions,Are NGOs exempt from tax?,NGOs and charities are exempt on income from non-commercial activities. Any income from trade or business carried on by an NGO is taxable. They must file annual returns regardless.,,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_335,exemptions,What income is tax-free?,"Tax-free income includes: minimum wage salaries, pension (approved scheme), government bond interest, disability pensions, military salaries, agricultural income (first 5 years), and foreign dividends/rent via approved channels.",,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_336,exemptions,Do disabled persons get tax relief?,Yes. Compensation for disability/personal injury up to N50 million is exempt from tax. Assistive devices are also VAT-exempt. Specific disability reliefs can be claimed through the annual return.,,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_337,exemptions,Are gifts taxable?,"Gifts of assets are generally not taxable in the hands of the recipient. However, the giver may be subject to CGT if there is a gain on disposal. Regular gifts forming part of income may be assessed.",,,"exempt, relief, pension, minimum wage, NGO, deduction, N800k","Nigeria Tax Act 2025, Section 162 & Fifth Schedule"
TAX_338,digital_tax,Is there tax on digital services?,"Yes. The NTA 2025 introduced comprehensive digital tax rules. Income from digital services, online platforms, e-commerce, social media, and streaming is subject to Nigerian tax.",,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_339,digital_tax,Do online platforms pay tax in Nigeria?,"Foreign online platforms with significant economic presence in Nigeria (streaming, app stores, digital ads, e-commerce) must register with FIRS and pay tax on income derived from Nigerian users.",,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_340,digital_tax,Is social media income taxable?,"Yes. All income earned through social media (sponsored posts, affiliate marketing, brand deals, content creation) is taxable as part of your total annual income.",,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_341,digital_tax,Do content creators pay tax?,"Yes. Income from YouTube, TikTok, Instagram, podcasting, blogging, and other content creation platforms is taxable as self-employment income under PIT in Nigeria.",,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_342,digital_tax,What about crypto income tax?,Cryptocurrency gains are taxable in Nigeria as chargeable assets under the NTA 2025. Profits from buying and selling crypto are subject to Capital Gains Tax (CGT) at progressive individual rates.,,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_343,digital_tax,Are foreign digital companies taxed?,"Yes. Foreign digital companies (Netflix, Google, Meta, Amazon) with significant economic presence in Nigeria are taxed on income attributable to Nigerian users under the NTA 2025.",,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_344,digital_tax,What is digital tax policy?,"Nigeria's digital tax policy under NTA 2025 uses Significant Economic Presence (SEP) rules to tax foreign digital companies. It also taxes all domestic digital income including crypto, social media, and remote work.",,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_345,digital_tax,Is YouTube income taxable?,"Yes. YouTube AdSense income is taxable as self-employment income in Nigeria. Whether paid in USD or NGN, it must be declared and converted to Naira at the CBN rate for tax purposes.",,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_346,digital_tax,Do influencers pay tax?,"Yes. Influencers and content creators are classified as self-employed individuals. All brand deals, sponsored content, affiliate income, and AdSense must be declared and taxed annually.",,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_347,digital_tax,How do I report online earnings?,Declare all online income in your annual PIT return under 'other income' or 'self-employment income'. Convert foreign currency amounts to Naira at CBN rate on the transaction date.,,,"digital, online, crypto, YouTube, influencer, e-commerce, SEP, 2025","Nigeria Tax Act 2025, Section 9; SEP Order 2020 (amended)"
TAX_348,tax_general,wetin be tax?,"Tax na money wey government dey collect from people and businesses by force of law, to use am build roads, schools, hospitals and run government.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_349,tax_general,why we dey pay tax for nigeria?,"We dey pay tax so government fit provide road, light, school and hospital for everybody. Na the way government take get money run the country.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_350,tax_general,why do I have to pay tax?,"Tax is a compulsory financial contribution imposed by law on individuals and companies to fund government services such as roads, schools, hospitals, and security.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_351,tax_general,is tax compulsory?,"Tax is a compulsory financial contribution imposed by law on individuals and companies to fund government services such as roads, schools, hospitals, and security.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_352,tax_general,na by force to pay tax?,"Yes, na by force. Tax dey backed by law. If you no pay, you fit face fine, penalty, or even prison. The FIRS and State tax authorities get power to enforce.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_353,tax_general,if I no pay tax nko?,"If you no pay tax, dem fit charge you penalty, add interest, freeze your account, seize your property, or take you to court.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_354,tax_general,who dey collect tax sef?,FIRS (now called Nigeria Revenue Service) dey collect federal tax like VAT and company tax. Your state tax board like KIRS or LIRS dey collect salary and individual tax.,,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_355,tax_general,which kind taxes dey nigeria?,"Nigeria get different taxes: tax on salary (PIT), tax on company profit (CIT), VAT on goods and services, WHT on payments, CGT on asset sales, and Stamp Duty on documents.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_356,tax_general,new tax law nigeria wetin change?,"The 2025 tax law combine all old tax laws into one. Small companies no go pay tax again, VAT on essentials remain zero, and there is now tax on digital income.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_357,tax_general,anything new for tax system?,"Yes, big changes! From January 2026, small businesses pay zero CIT, minimum wage earners pay zero PIT, rent relief is available, and digital/crypto income is now taxed.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_358,tax_general,explain tax law nigeria small,"Simple: if you earn money in Nigeria, you owe tax. The amount depends on how much you earn. Small earners pay less or zero. Government use the tax money to run Nigeria.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_359,tax_general,what is taxation in simple terms?,"Taxation means the government takes a percentage of your earnings or transactions to pay for public services. In Nigeria, FIRS manages federal taxes and State Revenue Boards handle individual taxes.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_360,tax_general,make you explain tax simple,"Tax na like this: you earn money, government take small percentage. They use am for road, hospital, school. If you earn small small, you fit no pay anything at all.",,,"tax, Nigeria, FIRS, NRS, law, 2025, NTA",Nigeria Tax Act 2025 — General Provisions
TAX_361,tin_registration,how I go take get TIN?,"You fit register for TIN online for tin.jtb.gov.ng, or go any FIRS office or your State tax board. Carry your NIN, passport or driver licence. E free and fast.",,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_362,tin_registration,wetin be TIN number?,TIN na number wey government give you to identify you for tax purpose. Every person and company wey dey Nigeria need am.,,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_363,tin_registration,where dem dey do TIN?,"You fit go FIRS office, your state tax office, or do am online for tin.jtb.gov.ng. No need to stress — process don be easier now.",,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_364,tin_registration,TIN fit be online?,"Yes! You fit register TIN online for tin.jtb.gov.ng. Just put your NIN and details, dem go give you TIN within 24-48 hours.",,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_365,tin_registration,must I get TIN?,"Yes you must. Without TIN, you no fit open new bank account, do business transaction with government, or get tax clearance. Na law now.",,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_366,tin_registration,student sef need TIN?,"If you be student and you dey earn any money — business, hustle, part-time — you need TIN. Even without income, it good to register early.",,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_367,tin_registration,TIN go take how many days?,Online: 1-2 days. If you go office: same day or next day. Process don fast pass before.,,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_368,tin_registration,wetin dem need for TIN?,"Individual: NIN, passport photo, proof of address. Company: CAC papers, director ID card. Everything fit be done online now.",,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_369,tin_registration,I fit get two TIN?,"No. You fit only get one TIN. If you get two by mistake, report to FIRS to cancel the duplicate. Having two na criminal offence.",,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_370,tin_registration,I lose my TIN wetin I go do,"No worry. Go tin.jtb.gov.ng or any FIRS office, carry your NIN. They go find your TIN for their system and give you back.",,,"TIN, Tax ID, register, FIRS, NIN, JTB, online","Nigeria Tax Administration Act 2025, Sections 8–10"
TAX_371,paye,wetin be PAYE?,"PAYE means your oga (employer) go remove your tax from salary every month before you collect am, then send the money go State tax board. You no need do anything yourself.",,,"PAYE, salary, employer, deduction, State IRS, monthly, remit","Nigeria Tax Act 2025, Section 13; PAYE Regulations 2025"
TAX_372,paye,PAYE dey work how?,"Every month, your company calculate how much tax you suppose pay for the year, divide am by 12, cut am from your salary, then send am go State tax office.",,,"PAYE, salary, employer, deduction, State IRS, monthly, remit","Nigeria Tax Act 2025, Section 13; PAYE Regulations 2025"
TAX_373,paye,na who dey pay PAYE?,"Every person wey dey collect salary — permanent, contract, or part-time — PAYE concern them. Your employer dey handle the deduction and payment.",,,"PAYE, salary, employer, deduction, State IRS, monthly, remit","Nigeria Tax Act 2025, Section 13; PAYE Regulations 2025"
TAX_374,paye,dem dey remove PAYE direct?,"Yes, your employer dey remove am direct from your salary every month. Check your payslip — you go see 'Tax' or 'PAYE' deduction line.",,,"PAYE, salary, employer, deduction, State IRS, monthly, remit","Nigeria Tax Act 2025, Section 13; PAYE Regulations 2025"
TAX_375,paye,how dem dey calculate PAYE?,"Dem go add your total yearly salary, minus your pension and NHF contributions, then apply tax bands: first N800k — 0%, next N2.2m — 15%, and so on up to 25% for high earners.",,,"PAYE, salary, employer, deduction, State IRS, monthly, remit","Nigeria Tax Act 2025, Section 13; PAYE Regulations 2025"
TAX_376,paye,I fit calculate PAYE by myself?,"Yes, you fit. Take your annual salary, minus pension (8%), NHF (2.5%), NHIS, and rent relief. Then apply tax band: first N800k at 0%, next N2.2m at 15%, etc.",,,"PAYE, salary, employer, deduction, State IRS, monthly, remit","Nigeria Tax Act 2025, Section 13; PAYE Regulations 2025"
TAX_377,paye,which money PAYE dey touch?,"PAYE dey touch your base salary, housing allowance, transport, bonus, and any benefit your employer give you. All na employment income.",,,"PAYE, salary, employer, deduction, State IRS, monthly, remit","Nigeria Tax Act 2025, Section 13; PAYE Regulations 2025"
TAX_378,paye,all workers dey pay PAYE?,All workers dey pay PAYE except those earning minimum wage or below. Self-employed people pay through Direct Assessment instead of PAYE.,,,"PAYE, salary, employer, deduction, State IRS, monthly, remit","Nigeria Tax Act 2025, Section 13; PAYE Regulations 2025"
